Food_items,Breakfast,Lunch,Dinner,Snack,Deserts,type,Veg/NonVeg,Calories,Servings,Portion,PreDiabetic,Diabetic
Chapati,0,0,1,0,0,rice and others,Veg,104,2,Piece,1,0
Corn Roti,0,1,1,0,0,rice and others,Veg,70,2,Piece,1,1
Paratha,0,0,1,0,0,rice and others,Veg,126,1,Piece,1,0
Naan,0,0,1,0,0,rice and others,Veg,136,1,Piece,1,0
Bread,1,1,1,0,0,rice and others,Veg,67,2,Piece,1,0
Wholegrain Bread,1,1,1,0,0,rice and others,Veg,92,2,Piece,1,1
Dosa,1,1,1,0,0,rice and others,Veg,133,1,Piece,1,1
Rice,0,1,1,0,0,rice and others,Veg,200,1,Bowl,1,1
Brown Rice,0,1,1,0,0,rice and others,Veg,216,1,Bowl,1,1
Noodle,0,1,1,0,0,rice and others,Veg,190,1,Bowl,1,1
Oats,1,0,0,0,0,cereals,Veg,150,1,Bowl,1,0
Brown rice Pulav,0,1,1,0,0,rice and others,Veg,359,1,Bowl,1,1
Sandwich,1,0,0,0,0,rice and others,Veg,266,1,Piece,1,1
Samosa,1,0,0,0,0,snack,Veg,262,1,Piece,1,0
Idli,1,0,0,0,0,snack,Veg,39,2,Piece,1,1
Vada,1,0,0,0,0,snack,Veg,97,2,Piece,1,0
Uttapam,1,1,1,0,0,rice and others,Veg,92,1,Piece,1,1
Aloo Paratha,0,1,0,0,0,rice and others,Veg,177,1,Piece,1,0
Spinach ,0,1,1,0,0,vegetables,Veg,46,1,Bowl,1,1
Sweet potato,0,1,1,0,0,vegetables,Veg,86,1,Bowl,1,0
Mushroom,0,1,1,0,0,vegetables,Veg,22,1,Bowl,1,1
Peas,0,1,1,0,0,cereals,Veg,81,1,Bowl,1,1
Fat-free Paneer,0,1,1,0,0,vegetables,Veg,256,1,Bowl,1,1
Soya ,1,0,1,0,0,cereals,Veg,446,1,Bowl,1,1
Broccoli,1,1,1,0,0,vegetables,Veg,34,1,Bowl,1,1
Protien Smoothies,1,0,0,0,0,beverages,Veg,116,1,Cup,1,1
